property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price,row_id,row_num,sqft_numeric,sale_price,price_per_sqft_numeric
"  Shop for Sale in Althan Surat","Super Area","407 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,NULL,"₹17,445 per sqft ","₹71 Lac ",1627,1,407.00,7100000,17445
"  Shop for Sale in Amroli Surat","Carpet Area","210 sqft",Resale,"Ready to Move","Ground out of 10",NULL,NULL,"road faceing , parking area","₹14,793 per sqft ","₹50 Lac ",231,1,210.00,5000000,14793
"  Shop for Sale in Amroli Surat","Carpet Area","245 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,NULL,"₹7,042 per sqft ","₹25 Lac ",539,1,245.00,2500000,7042
"  Shop for Sale in Amroli Surat","Carpet Area","640 sqft",Resale,"Ready to Move","4 out of 4",NULL,NULL,na,"₹4,688 per sqft ","₹60 Lac ",1863,1,640.00,6000000,4688
"  Shop for Sale in Amroli Surat","Super Area","200 sqft",Resale,"Ready to Move","Ground out of 5",NULL,NULL,NULL,"₹7,500 per sqft ","₹15 Lac ",1013,1,200.00,1500000,7500
"  Shop for Sale in Amroli Surat","Super Area","428 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,NULL,"₹5,374 per sqft ","₹23 Lac ",868,1,428.00,2300000,5374
"  Shop for Sale in Anand Mahal Road Surat","Carpet Area","800 sqft",Resale,"Ready to Move","Ground out of 2",NULL,NULL,NULL,"₹8,125 per sqft ","₹65 Lac ",2104,1,800.00,6500000,8125
"  Shop for Sale in Anand Mahal Road Surat","Super Area","540 sqft",Resale,"Ready to Move","Ground out of 5",NULL,NULL,NULL,"₹12,963 per sqft ","₹70 Lac ",1615,1,540.00,7000000,12963
"  Shop for Sale in Arihant Complex, Udhna Surat","Carpet Area","150 sqft",Resale,"Ready to Move","Lower Basement out of 6",NULL,NULL,NULL,"₹6,333 per sqft ","₹9.5 Lac ",789,1,150.00,950000,6333
"  Shop for Sale in Arihant Complex, Udhna Surat","Carpet Area","380 sqft",Resale,"Ready to Move","Lower Basement out of 5",NULL,NULL,"Commercial shop is available for sale. It is a good location property. Please contact for more details.Read more","₹2,632 per sqft ","₹10 Lac ",758,1,380.00,1000000,2632
"  Shop for Sale in Ascon city, Citylight Area Surat","Carpet Area","300 sqft",Resale,"Ready to Move","1 out of 3",NULL,NULL,"Commercial shop for sale in Ascon City, Citylight Area, Surat. This well-lit and ventilated shop space boasts ample natural light, creating an inviting atmosphere for any business.Property Specifications This commercial shop, with a generous carpet area of 300 sq ft, is thoughtfully designed to meet the demands of modern businesses. Located on the 1st floor of a three-storeyed building, this shop offers both accessibility and prominence, ideal for attracting foot traffic.The shop is fully furnished, eliminating the need for additional setup and allowing for immediate operation. Featuring a spacious open hall, the layout provides flexibility for various commercial activities, making it suitable for any type of retail or office use. The shop is equipped with a split AC system, ensuring a comfortable environment for both customers and staff regardless of the weather. A well-maintained washroom is included within the premises for convenience. The shop features vitrified tile flooring, offering durability and a sleek, modern aesthetic.Strategically positioned facing the main road, the shop benefits from high visibility and easy access, essential for attracting and retaining customers. The shop is designed to maximize natural light and ventilation, creating a bright and airy atmosphere that enhances the shopping experience. This commercial space is best suited for a wide range of businesses, including retail stores, boutiques, offices, and more, offering a versatile environment that can be tailored to meet specific business needs.Facilities Ample open parking space is available for customers and staff. An uninterrupted water supply is guaranteed. A reliable power backup facility ensures that your business operations run smoothly without any interruptions. The building is secured with a security guard and is equipped with CCTV surveillance for enhanced safety. Two lifts are available for convenient access to all floors. The property is air-conditioned and equipped with fire sprinklers for added safety.Locality The shop is located near the Science Centre, a well-known landmark that adds to its appeal and ease of location. Within a 1 km radius, you'll find hospitals, malls, supermarkets, and banks/ATMs, ensuring all essential services are easily accessible. The area is well-served by public transport, with buses and autos readily available, facilitating easy commutes for both customers and employees. The Surat Railway Station is conveniently located just 6 km away, enhancing connectivity for out-of-town clients and staff.Read more","₹21,667 per sqft ","₹65 Lac ",1561,1,300.00,6500000,21667
"  Shop for Sale in asian textile market Surat","Carpet Area","115 sqft",Resale,"Ready to Move","2 out of 4",NULL,NULL,NULL,"₹15,652 per sqft ","₹18 Lac ",461,1,115.00,1800000,15652
"  Shop for Sale in Athwa Gate Surat","Super Area","725 sqft",Resale,"Ready to Move","Ground out of 5",NULL,NULL,NULL,"₹13,103 per sqft ","₹95 Lac ",1816,1,725.00,9500000,13103
"  Shop for Sale in Athwa Gate Surat","Super Area","725 sqft",Resale,"Ready to Move","Upper Basement out of 5",NULL,NULL,"Suitable for doctors  clinics.","₹13,103 per sqft ","₹95 Lac ",1812,1,725.00,9500000,13103
"  Shop for Sale in Bhakti Victory Shoppers, Palanpur Gam Surat","Super Area","436 sqft",Resale,"Ready to Move","Ground out of 7",NULL,NULL,"new developed area","₹12,615 per sqft ","₹55 Lac ",2618,1,436.00,5500000,12615
"  Shop for Sale in Bhatar Road Surat","Super Area","265 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,NULL,"₹28,302 per sqft ","₹75 Lac ",1669,1,265.00,7500000,28302
"  Shop for Sale in Bhatar Surat","Carpet Area","650 sqft",Resale,"Ready to Move","1 out of 1",NULL,NULL,"  Commercial Shop is available for Sale in Bhatar, Surat for 1.2 Crore(s)Read more","₹17,857 per sqft ","₹1.25 Cr ",3036,1,650.00,12500000,17857
"  Shop for Sale in Bhimrad Surat","Super Area","493 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,NULL,"₹14,199 per sqft ","₹70 Lac ",1881,1,493.00,7000000,14199
"  Shop for Sale in Borsad Surat","Super Area","314 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,NULL,"₹8,500 per sqft ","₹26.7 Lac ",280,1,314.00,2670000,8500
"  Shop for Sale in Chauta Bazar Surat","Carpet Area","102 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,NULL,"₹15,842 per sqft ","₹32 Lac ",1138,1,102.00,3200000,15842
"  Shop for Sale in Chauta Bazar Surat","Carpet Area","110 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,NULL,"₹16,832 per sqft ","₹34 Lac ",293,1,110.00,3400000,16832
"  Shop for Sale in Chauta Bazar Surat","Carpet Area","110 sqft",Resale,"Ready to Move","Upper Basement out of 4",NULL,NULL,NULL,"₹31,818 per sqft ","₹35 Lac ",159,1,110.00,3500000,31818
"  Shop for Sale in Citylight Area Surat","Super Area","650 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,"This shop is available for which can be use in multipurpose way like for tution class,office work space,godown, etc.Read more","₹12,000 per sqft ","₹78 Lac ",1698,1,650.00,7800000,12000
"  Shop for Sale in Dandi Road Surat","Super Area","873 sqft",Resale,"Ready to Move","Ground out of 2",NULL,NULL,"  Commercial Shop is available for Sale in Dandi Road, Surat for 1.3 Crore(s)Read more","₹11,500 per sqft ","₹1 Cr ",3150,1,873.00,10000000,11500
"  Shop for Sale in DCR Gokul Solitaire, Vesu Surat","Super Area","400 sqft",Resale,"Ready to Move","Ground out of 1",NULL,NULL,NULL,"₹13,000 per sqft ","₹52 Lac ",1831,1,400.00,5200000,13000
"  Shop for Sale in Dindoli Surat","Carpet Area","150 sqft",Resale,"Ready to Move","Ground out of 1",NULL,NULL,"Main road touch, running shop, ideal for retail business.","₹9,000 per sqft ","₹13.5 Lac ",116,1,150.00,1350000,9000
"  Shop for Sale in Dindoli Surat","Carpet Area","504 sqft",Resale,"Ready to Move","1 out of 1",NULL,NULL,"it Shop cum residence","₹3,871 per sqft ","₹19.5 Lac ",215,1,504.00,1950000,3871
"  Shop for Sale in Fortune The Shopping Island, Pal Gam Surat","Super Area","460 sqft",Resale,"Ready to Move","1 out of 5",NULL,NULL,NULL,"₹7,826 per sqft ","₹36 Lac ",553,1,460.00,3600000,7826
"  Shop for Sale in Galaxy Enclave, Pal Surat","Carpet Area","1700 sqft",Resale,"Ready to Move","1 out of 9",NULL,NULL,"its my own property and suitable for showroom, Corporate company and office...Read more","₹8,830 per sqft ","₹2.25 Cr ",3674,1,1700.00,22500000,8830
"  Shop for Sale in Ghod Dod Road Surat","Carpet Area","350 sqft",Resale,"Ready to Move","Lower Basement out of 7",NULL,NULL,"  Commercial Shop is available for Sale in Ghod Dod Road, Surat for 45.0 Lac(s)Read more","₹12,857 per sqft ","₹45 Lac ",18,1,350.00,4500000,12857
"  Shop for Sale in Godadara Surat","Carpet Area","4400 sqft","New Property","Ready to Move","2 out of 4",NULL,NULL,"very good road facing shop for banks, hospital , tuition class, showroom,Read more","₹5,682 per sqft ","₹2.50 Cr ",3719,1,4400.00,25000000,5682
"  Shop for Sale in Gopi Pura Surat","Super Area","168 sqft",Resale,"Ready to Move","Ground out of 6",NULL,NULL,NULL,"₹11,012 per sqft ","₹18.5 Lac ",463,1,168.00,1850000,11012
"  Shop for Sale in Gopi Pura Surat","Super Area","500 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,NULL,"₹6,800 per sqft ","₹34 Lac ",772,1,500.00,3400000,6800
"  Shop for Sale in Gruham Empire, Amroli Surat","Carpet Area","293 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,"Main road facing, well maintained, good condition, personal washroom.Read more","₹5,802 per sqft ","₹17 Lac ",785,1,293.00,1700000,5802
"  Shop for Sale in Gruham Plaza, Amroli Surat","Carpet Area","200 sqft",Resale,"Ready to Move","5 out of 5",NULL,NULL,NULL,"₹3,429 per sqft ","₹12 Lac ",505,1,200.00,1200000,3429
"  Shop for Sale in Hirabag Surat","Super Area","110 sqft",Resale,"Ready to Move","1 out of 3",NULL,NULL,NULL,"₹13,864 per sqft ","₹15.3 Lac ",483,1,110.00,1530000,13864
"  Shop for Sale in Jahangir Pura Surat","Carpet Area","126 sqft",Resale,"Ready to Move","Ground out of 2",NULL,NULL,"Groundfloor,corner,road touch,Suitable for every business,Extra space for useRead more","₹14,602 per sqft ","₹33 Lac ",472,1,126.00,3300000,14602
"  Shop for Sale in Jahangir Pura Surat","Carpet Area","408 sqft","New Property","Ready to Move","Ground out of 2",NULL,NULL,NULL,"₹10,131 per sqft ","₹62 Lac ",1829,1,408.00,6200000,10131
"  Shop for Sale in Jahangir Pura Surat","Super Area","550 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,"  Commercial Shop is available for Sale in Jahangir Pura, Surat for 70.0 Lac(s)Read more","₹12,727 per sqft ","₹70 Lac ",1582,1,550.00,7000000,12727
"  Shop for Sale in Jahangirabad Surat","Super Area","462 sqft",Resale,"Ready to Move","Ground out of 5",NULL,NULL,NULL,"₹11,255 per sqft ","₹52 Lac ",2101,1,462.00,5200000,11255
"  Shop for Sale in Jahangirabad Surat","Super Area","484 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,NULL,"₹15,909 per sqft ","₹77 Lac ",1667,1,484.00,7700000,15909
"  Shop for Sale in Jahangirabad Surat","Super Area","5300 sqft",Resale,"Ready to Move","4 out of 5",NULL,NULL,NULL,NULL,"Call for Price",3839,1,5300.00,NULL,NULL
"  Shop for Sale in Kadodar Surat","Carpet Area","330 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,NULL,"₹5,833 per sqft ","₹35 Lac ",491,1,330.00,3500000,5833
"  Shop for Sale in Kadodara Surat","Super Area","150 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,"  Commercial Shop is available for Sale in Kadodara, Surat for 7.50 Lac(s)Read more","₹5,000 per sqft ","₹7.5 Lac ",67,1,150.00,750000,5000
"  Shop for Sale in Kadodara Surat","Super Area","180 sqft",Resale,"Ready to Move","Ground out of 5",NULL,NULL,NULL,"₹10,000 per sqft ","₹18 Lac ",175,1,180.00,1800000,10000
"  Shop for Sale in Kadodara Surat","Super Area","630 sqft",Resale,"Ready to Move","Ground out of 2",NULL,NULL,NULL,"₹12,698 per sqft ","₹80 Lac ",1646,1,630.00,8000000,12698
"  Shop for Sale in Kamrej Surat","Super Area","280 sqft",NULL,NULL,NULL,NULL,NULL," This Commercial Shop is located at Ground floor in a building of total 5 floors. Read more","₹28,571 per sqft ","₹80 Lac ",1864,1,280.00,8000000,28571
"  Shop for Sale in Kamrej Surat","Super Area","300 sqft",Resale,"Ready to Move","Ground out of 1",NULL,NULL,"Commercial shop is available for sale.","₹6,000 per sqft ","₹18 Lac ",821,1,300.00,1800000,6000
"  Shop for Sale in Kansad Gam Surat","Super Area","390 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL," It's a Ground floor Commercial Shop in a building of total 4 floors. The Commercial Shop is newly constructed. Read more","₹16,667 per sqft ","₹65 Lac ",1559,1,390.00,6500000,16667
"  Shop for Sale in Kashtbhanjan Livino, Singanpor Surat","Super Area","728 sqft",Resale,"Ready to Move","Ground out of 11",NULL,NULL,NULL,"₹12,775 per sqft ","₹93 Lac ",1904,1,728.00,9300000,12775
"  Shop for Sale in Katar Gam Surat","Super Area","256 sqft",Resale,"Ready to Move","Ground out of 2",NULL,NULL,NULL,"₹6,250 per sqft ","₹16 Lac ",1375,1,256.00,1600000,6250
"  Shop for Sale in Katargam Surat","Super Area","242 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,NULL,"₹12,397 per sqft ","₹30 Lac ",576,1,242.00,3000000,12397
"  Shop for Sale in Kim Surat","Super Area","200 sqft",Resale,"Ready to Move","Ground out of 3",NULL,NULL,"Best location near railway station  sabji mandi  school","₹7,500 per sqft ","₹15 Lac ",826,1,200.00,1500000,7500
"  Shop for Sale in Kosamba Surat","Carpet Area","425 sqft",Resale,"Ready to Move","1 out of 2",NULL,NULL,"  Commercial Shop is available for Sale in Kosamba, Surat for 20.0 Lac(s)Read more","₹4,706 per sqft ","₹20 Lac ",39,1,425.00,2000000,4706
"  Shop for Sale in laksh plaza Surat","Carpet Area","440 sqft",Resale,"Ready to Move","2 out of 4",NULL,NULL,NULL,"₹8,889 per sqft ","₹40 Lac ",370,1,440.00,4000000,8889
"  Shop for Sale in Laskana Surat","Super Area","733 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,NULL,"₹16,371 per sqft ","₹1.20 Cr ",3215,1,733.00,12000000,16371
"  Shop for Sale in laxmi homes Surat","Carpet Area","183 sqft",Resale,"Ready to Move","Ground out of 14",NULL,NULL,"new nd posh area","₹9,589 per sqft ","₹35 Lac ",400,1,183.00,3500000,9589
"  Shop for Sale in Magob Surat","Carpet Area","973 sqft",Resale,"Ready to Move","Ground out of 8",NULL,NULL,"Textile House concept with limited shop owners in the Building. Best suited for textile shop owners, exporters etc.Read more","₹6,423 per sqft ","₹1.25 Cr ",3069,1,973.00,12500000,6423
"  Shop for Sale in Mahaveer Heights, Vesu Surat","Carpet Area","330 sqft",Resale,"Ready to Move","Ground out of 2",NULL,NULL,"complex has 144 residential flats.","₹14,783 per sqft ","₹85 Lac ",1794,1,330.00,8500000,14783
"  Shop for Sale in Mahavir Market, Nr. Udhna Railway Station Surat","Super Area","153 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,NULL,"₹10,784 per sqft ","₹16.5 Lac ",517,1,153.00,1650000,10784
"  Shop for Sale in Mota Varachha Surat","Super Area","260 sqft",Resale,"Ready to Move","Ground out of 5",NULL,NULL,NULL,"₹14,615 per sqft ","₹38 Lac ",163,1,260.00,3800000,14615
"  Shop for Sale in Mota Varachha Surat","Super Area","2650 sqft",Resale,"Ready to Move","Ground out of 2",NULL,NULL,"Prime corner property with wide frontage (32 feet by 30 feet) highly visible with very large corner parking area in the front that can be used for many purposes. This is a highly visible and desirable property that is much sought after due to its location. The property is close to many other malls and commercial developments as well as residential complexes. This is an upcoming area of Surat that offers huge potential for growth. The property is highly suitable for banks, car show rooms, electronic showrooms, gyms, departmental stores, restaurants and other commercial establishments.Read more","₹12,264 per sqft ","₹3.25 Cr ",3755,1,2650.00,32500000,12264
"  Shop for Sale in Mota Varachha Surat","Super Area","760 sqft",Resale,"Ready to Move","1 out of 1",NULL,NULL,"Corner shop on first floor with three shutters and amazing visibility with very large frontage on two sides, and a wide balcony that can also be used. Perfect location for beauty parlours, yoga studio, tuition classes, doctors clinic, snackbar, office use, and many other businesses. Very high visibility from the road.Read more","₹7,632 per sqft ","₹58 Lac ",2126,1,760.00,5800000,7632
"  Shop for Sale in Moti Begumwadi Surat","Carpet Area","180 sqft",Resale,"Ready to Move","3 out of 3",NULL,NULL,"4056,Hari om Textile Market, Ring Road, Near Rohit AC Market","₹14,728 per sqft ","₹26.5 Lac ",29,1,180.00,2650000,14728
"  Shop for Sale in Nahata Raj Victoria, Pal Gam Surat","Super Area","420 sqft",Resale,"Ready to Move","1 out of 1",NULL,NULL,NULL,"₹8,333 per sqft ","₹35 Lac ",568,1,420.00,3500000,8333
"  Shop for Sale in Nan Pura Surat","Super Area","144 sqft",Resale,"Ready to Move","1 out of 5",NULL,NULL,NULL,"₹14,583 per sqft ","₹21 Lac ",261,1,144.00,2100000,14583
"  Shop for Sale in Nava Nagar Udhana Yard Surat Surat","Super Area","17 sqm",Resale,"Ready to Move","Ground out of 3",NULL,NULL,"Commercial Shop located on Ground floor provides breathing space on front as it overlooks Main Road. The type of ownership is Co-operative Society. The age of construction for this apartment Commercial Shop is between Less than 5 years.Read more","₹9,836 per sqft ","₹18 Lac ",605,1,182.99,1800000,9836
"  Shop for Sale in Nishal Arcade, Pal Road Surat","Super Area","380 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,"Commercial shop is available for sale. It covered area of 380 sq-ft, it is a good location property. Please contact for more details.Read more","₹10,000 per sqft ","₹38 Lac ",1024,1,380.00,3800000,10000
"  Shop for Sale in Olpad Surat","Super Area","250 sqft",Resale,"Ready to Move","1 out of 5",NULL,NULL,NULL,"₹6,000 per sqft ","₹15 Lac ",180,1,250.00,1500000,6000
"  Shop for Sale in Olpad Surat","Super Area","480 sqft",Resale,"Ready to Move","Ground out of 3",NULL,NULL,NULL,"₹4,167 per sqft ","₹20 Lac ",410,1,480.00,2000000,4167
"  Shop for Sale in Pal Gam Surat","Carpet Area","833 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,"Commercial shop is available for rent. It is a good location property. Please contact for more details.Read more","₹15,606 per sqft ","₹1.30 Cr ",3104,1,833.00,13000000,15606
"  Shop for Sale in Pal Gam Surat","Super Area","582 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,NULL,"₹10,309 per sqft ","₹60 Lac ",1766,1,582.00,6000000,10309
"  Shop for Sale in Pal Surat","Carpet Area","183 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,"12000 rent is coming","₹11,141 per sqft ","₹41 Lac ",1010,1,183.00,4100000,11141
"  Shop for Sale in Pal Surat","Carpet Area","357 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,NULL,"₹16,106 per sqft ","₹1.15 Cr ",3115,1,357.00,11500000,16106
"  Shop for Sale in Pal Surat","Super Area","250 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,NULL,"₹26,000 per sqft ","₹65 Lac ",1755,1,250.00,6500000,26000
"  Shop for Sale in Pal Surat","Super Area","496 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,NULL,"₹5,444 per sqft ","₹27 Lac ",164,1,496.00,2700000,5444
"  Shop for Sale in Pal Surat","Super Area","680 sqft","New Property","Ready to Move","Ground out of 7",NULL,NULL,NULL,"₹16,500 per sqft ","₹1.12 Cr ",3668,1,680.00,11200000,16500
"  Shop for Sale in Palan Pur Patiya Surat","Carpet Area","220 sqft",Resale,"Ready to Move","Ground out of 1",NULL,NULL,NULL,"₹31,818 per sqft ","₹70 Lac ",1759,1,220.00,7000000,31818
"  Shop for Sale in Palanpur Gam Surat","Carpet Area","150 sqft",Resale,"Ready to Move","1 out of 7",NULL,NULL,"property located nr gauravpath road and it is ready to move in 2 monthsRead more","₹8,667 per sqft ","₹26 Lac ",721,1,150.00,2600000,8667
"  Shop for Sale in Palanpur Jakatnaka Surat","Super Area","100 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,NULL,"₹20,510 per sqft ","₹20.5 Lac ",653,1,100.00,2050000,20510
"  Shop for Sale in Palsana Surat","Carpet Area","475 sqft","New Property","Ready to Move","Ground out of 6",NULL,NULL,"  Commercial Shop is located at Ground floor in a tower of total 6 floors. It offers an unmatched view of Main Road in front. The Commercial Shop is newly constructed. Read more","₹8,500 per sqft ","₹60.5 Lac ",1973,1,475.00,6050000,8500
"  Shop for Sale in Palsana Surat","Carpet Area","766 sqft",Resale,"Ready to Move","Ground out of 7",NULL,NULL,"Commercial shop is available for sale. It is a good location property. Please contact for more details.Read more","₹12,794 per sqft ","₹98 Lac ",1626,1,766.00,9800000,12794
"  Shop for Sale in Palsana Surat","Super Area","303 sqft",Resale,"Ready to Move","Ground out of 5",NULL,NULL,"Facing MainRoad Shop Opposite to chalthan railway station","₹4,800 per sqft ","₹14.5 Lac ",530,1,303.00,1450000,4800
"  Shop for Sale in Parley Point Surat","Carpet Area","1100 sqft",Resale,"Ready to Move","Ground out of 10",NULL,NULL,"The shop is 3 side open, only property with upper ground inter connected to first floor giving a perfect showroom advantage.Facing main road, with adjoining surats leading exhibition gallery bringing in highest foot fall, and parle point place building is a land mark building on ghod dod road. The area is converted to city jewellery and fashion garment leading locality with prices of property rising day by day , reasoning increased buyers and shortage of good premises. A new lease for 9 years buyer can do with rent 120000maintenance with ROI 5 percent a yearRead more","₹27,364 per sqft ","₹3.01 Cr ",3988,1,1100.00,30100000,27364
"  Shop for Sale in Parley Point Surat","Carpet Area","318 sqft",Resale,"Ready to Move","Ground out of 3",NULL,NULL,NULL,"₹27,358 per sqft ","₹87 Lac ",1652,1,318.00,8700000,27358
"  Shop for Sale in Pasodara Surat","Super Area","132 sqft",Resale,"Ready to Move",Ground,NULL,NULL," It's a Ground floor Commercial Shop . The Commercial Shop is newly constructed. Read more","₹25,000 per sqft ","₹33 Lac ",192,1,132.00,3300000,25000
"  Shop for Sale in Piplod Surat","Super Area","4438 sqft",Resale,"Ready to Move","2 out of 3",NULL,NULL," It's a 2nd floor Commercial Shop in a building of total 3 floors. Read more","₹8,000 per sqft ","₹3.55 Cr ",3854,1,4438.00,35500000,8000
"  Shop for Sale in Piplod Surat","Super Area","820 sqft",Resale,"Ready to Move","1 out of 3",NULL,NULL,"Front view for branding. Shop is at first floor of Rahul Raj Mall near exclator. Perfect for any business. Wooden flooring is ready. On posh area Surat Dumas Road.Read more","₹9,200 per sqft ","₹75.4 Lac ",1920,1,820.00,7540000,9200
"  Shop for Sale in Pipodara Surat","Carpet Area","430 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,"  Commercial Shop is available for Sale in Pipodara, Surat for 45.0 Lac(s)Read more","₹10,465 per sqft ","₹45 Lac ",117,1,430.00,4500000,10465
"  Shop for Sale in Prime Shoppers, Vesu Surat","Carpet Area","912 sqft",Resale,"Ready to Move","1 out of 5",NULL,NULL,"main road touch shopping","₹21,930 per sqft ","₹2 Cr ",3703,1,912.00,20000000,21930
"  Shop for Sale in Punagam Surat","Carpet Area","310 sqft",Resale,"Ready to Move","Ground out of 4",NULL,NULL,"  Commercial Shop is available for Sale in Punagam, Surat for 52.0 Lac(s)Read more","₹11,354 per sqft ","₹52 Lac ",1588,1,310.00,5200000,11354
"  Shop for Sale in Punagam Surat","Carpet Area","350 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,NULL,"₹14,571 per sqft ","₹51 Lac ",1856,1,350.00,5100000,14571
"  Shop for Sale in Puspa Raj Harmony, Palanpur Gam Surat","Carpet Area","152 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,"Good Connectivity with main road location, most fastest developing AreaRead more","₹7,895 per sqft ","₹24 Lac ",673,1,152.00,2400000,7895
"  Shop for Sale in Raj world shopping complex Surat","Carpet Area","195 sqft",Resale,"Ready to Move","2 out of 5",NULL,NULL,NULL,"₹6,494 per sqft ","₹25 Lac ",383,1,195.00,2500000,6494
"  Shop for Sale in Rajhnsh platinum plaza Surat","Super Area","445 sqft",Resale,"Ready to Move","1 out of 4",NULL,NULL,"  Commercial Shop is available for Sale in , Surat for 25.0 Lac(s)Read more","₹5,618 per sqft ","₹25 Lac ",52,1,445.00,2500000,5618
"  Shop for Sale in Ram Kutir, Adajan Surat","Carpet Area","225 sqft",Resale,"Ready to Move","Ground out of 7",NULL,NULL,"Commercial shop is available for sale. Full market area with running business.Read more","₹25,778 per sqft ","₹58 Lac ",2652,1,225.00,5800000,25778
"  Shop for Sale in Rander Road Surat","Super Area","260 sqft",Resale,"Ready to Move","Ground out of 11",NULL,NULL,"shop is located on main Rander road near Tadwadi","₹5,577 per sqft ","₹14.5 Lac ",714,1,260.00,1450000,5577
"  Shop for Sale in Rander Surat","Super Area","150 sqft",Resale,"Ready to Move","Ground out of 6",NULL,NULL,NULL,"₹10,000 per sqft ","₹15 Lac ",645,1,150.00,1500000,10000
"  Shop for Sale in Ring Road Surat","Carpet Area","1000 sqft",Resale,"Ready to Move","3 out of 10",NULL,NULL,"Suitable for Startups, Online sellers, Advocate Office, Textile AgentsRead more","₹5,500 per sqft ","₹55 Lac ",1702,1,1000.00,5500000,5500
"  Shop for Sale in Ring Road Surat","Carpet Area","680 sqft",Resale,"Ready to Move","Lower Basement out of 1",NULL,NULL,NULL,"₹1,47,059 per sqft ","₹10 Cr ",3878,1,680.00,100000000,147059
"  Shop for Sale in Ring Road Surat","Carpet Area","680 sqft",Resale,"Ready to Move","Lower Basement out of 1",NULL,NULL,"Presenting a prime investment opportunity: a meticulously maintained commercial shop for sale on Ring Road, Surat. With a construction age of 10 to 15 years, ready for immediate occupancy, and boasting freehold ownership rights, this property is poised to be an excellent investment choice.Property Specifications This commercial space, covering 680 square feet in both super area and carpet area, is located in the lower basement of the building. It features tasteful wood and glass work furnishings, lending an air of sophistication to the open hall layout. Equipped with one washroom for convenience and installed ACs for comfort, the space is well-prepared to accommodate various commercial needs. The flooring is adorned with vitrified tiles, enhancing the overall aesthetic appeal.Facing the main road, this property enjoys excellent visibility and accessibility, making it an attractive option for a diverse range of commercial ventures, such as shops or showrooms. Additionally, ample natural light and ventilation contribute to a pleasant environment for both customers and occupants.Facilities In terms of facilities, open parking facilities are available to accommodate visitors and staff. The property benefits from a 24-hour water supply, ensuring uninterrupted access to water. Additionally, with a 100% power backup facility in place, business operations can continue smoothly even during power outages. For enhanced security, CCTVs are installed throughout the premises, providing surveillance and peace of mind.Locality Nestled opposite the Surat Textile Market, this area pulsates with commercial vibrancy, offering a prime location for businesses and entrepreneurs. Within reach are hospitals, ensuring healthcare access, while malls and supermarkets cater to daily needs. Residents benefit from convenient public transportation options, including buses and autos, facilitating easy commuting. Moreover, nearby banks and ATMs provide accessible financial services, complemented by the convenience of a nearby railway station.Read more","₹1,47,059 per sqft ","₹10 Cr ",3528,1,680.00,100000000,147059
"  Shop for Sale in Ring Road Surat","Carpet Area","850 sqft",Resale,"Ready to Move","Ground out of 6",NULL,NULL,"The Building in RCC Frame is constructed in very high strength ways. Its a Five adjoining shops are combined into a single unit. Double Height 13.3 ft is divided into two levels by the provision of an intermediate loft on girders. Shop Level Height 7.9 ft. has ceramic tiles flooring. POP false ceiling, laminate-finish wall paneling and rolling shutters   glass panel at entrance. Common entrance is provided through glass panel   door from shop. Loft level height 5.6 ft.  has godown with oil-painted walls. Wooden steps are provided to storage loft from last shop. Rear wall has wooden framed windows and provided with safety grills. Electrical wiring is concealed at shop level and surface conduit type at loft level. Most Importantly, Immediate Rent will be Provided to the New Buyer.Read more","₹17,647 per sqft ","₹1.50 Cr ",3044,1,850.00,15000000,17647
