property_name,areaWithType,square_feet,transaction,status,floor,furnishing,facing,description,price_per_sqft,price,row_id,row_num,sqft_numeric,sale_price,price_per_sqft_numeric
"2 BHK Apartment for Sale in Siddhi Vinayak Residency, Sachin Surat","Super Area","1075 sqft",Resale,"Ready to Move","6 out of 10",Semi-Furnished,East,"middle in Sachin market school hospital post etc near walking distanceRead more","₹2,512 per sqft ","₹27 Lac ",315,1,1075.00,2700000,2512
"2 BHK Apartment for Sale in Silver Plaza Complex, Rander Surat","Carpet Area","878 sqft",Resale,"Ready to Move","1 out of 7",Unfurnished,NULL,NULL,"₹3,304 per sqft ","₹38 Lac ",763,1,878.00,3800000,3304
"2 BHK Apartment for Sale in Silver Plaza Complex, Rander Surat","Super Area","1100 sqft",Resale,"Ready to Move","7 out of 13",Unfurnished,NULL,NULL,"₹3,636 per sqft ","₹40 Lac ",734,1,1100.00,4000000,3636
"2 BHK Apartment for Sale in Silver Plaza Complex, Silver Plaza Flats Surat","Super Area","1100 sqft",Resale,"Ready to Move","6 out of 7",Furnished,East,NULL,"₹3,364 per sqft ","₹37 Lac ",534,1,1100.00,3700000,3364
"2 BHK Apartment for Sale in Sima Nagar Surat","Super Area","700 sqft",Resale,"Ready to Move","Ground out of 1",Unfurnished,NULL,NULL,"₹2,714 per sqft ","₹19 Lac ",583,1,700.00,1900000,2714
"2 BHK Apartment for Sale in SK Apt Patel Colony Surat","Super Area","1200 sqft",Resale,"Ready to Move","2 out of 3",Semi-Furnished,NULL,"Multistorey apartment is available for sale. It is a good location property. Please contact for more details.Read more","₹2,500 per sqft ","₹30 Lac ",476,1,1200.00,3000000,2500
"2 BHK Apartment for Sale in Society Surat","Carpet Area","700 sqft",Resale,"Ready to Move","4 out of 4",Unfurnished,South-West,"wind Direction and Gas line and Sweet Water Tank in Bathroom","₹2,778 per sqft ","₹30 Lac ",1022,1,700.00,3000000,2778
"2 BHK Apartment for Sale in Soham Elegance, Pal Surat","Carpet Area","727 sqft","New Property","Ready to Move","10 out of 14",Unfurnished,East,"Soham Elegance is there to boost up the selfesteem of residing community. It has a basket full of advantages.Self contained residency, beautiful look, green living, secure and safe premise....Situated in a sociable area of Pal, Soham Elegance is an imposing architecture that is impeccably planned and brilliantly designed. The spacious layout at Soham Elegance maintains a premium feel, which allows pure relaxation and comfort of your dream house in compact space.Read more","₹3,933 per sqft ","₹52 Lac ",2851,1,727.00,5200000,3933
"2 BHK Apartment for Sale in Soham Elegance, Pal Surat","Super Area","1307 sqft","New Property","Ready to Move","7 out of 14",Unfurnished,South-West,"2 BHK New Flat for sell in Pal prine Area.","₹4,250 per sqft ","₹55.6 Lac ",2518,1,1307.00,5560000,4250
"2 BHK Apartment for Sale in Soham Elegance, Pal Surat","Super Area","1307 sqft",Resale,"Ready to Move","12 out of 13",Unfurnished,North-East,"Garden facing corner flat in second floor from top 12th floor out 13th floorRead more","₹4,171 per sqft ","₹54.5 Lac ",1964,1,1307.00,5450000,4171
